code,name,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
37,경북 성주군,0.9828 ,-0.5361 ,1.0249 ,-0.0627 ,0.9942 ,0.0373 ,0.6139 ,0.1002 ,0.0723 ,0.3742 
37,경북 상주시,0.9984 ,-0.1789 ,1.1672 ,-0.3752 ,0.9921 ,0.0433 ,0.0504 ,0.1660 ,0.0881 ,-0.0725 
37,경북 봉화군,0.9904 ,-0.5304 ,1.0351 ,-0.0513 ,0.9916 ,0.0353 ,0.1429 ,0.1103 ,-0.1331 ,-0.0095 
37,경북 문경시,0.9790 ,-0.3251 ,1.0805 ,-0.1397 ,0.9914 ,0.0682 ,0.3885 ,0.2201 ,0.0438 ,0.0308 
37,경북 김천시,0.9868 ,-0.2555 ,1.0901 ,-0.0863 ,0.9944 ,0.1019 ,0.0766 ,0.1539 ,-1.1352 ,0.0304 
37,경북 군위군,0.9812 ,-0.3109 ,1.1163 ,-0.0609 ,0.9913 ,0.0472 ,0.1299 ,0.0529 ,-0.0907 ,0.0378 
37,경북 구미시,1.0026 ,-0.1946 ,1.1045 ,-0.0662 ,0.9973 ,0.0481 ,-0.0205 ,0.0552 ,0.4558 ,0.4833 
37,경북 고령군,0.9780 ,-0.5349 ,1.0445 ,-0.0683 ,0.9935 ,0.0251 ,0.0857 ,0.0230 ,0.0475 ,0.0098 
37,경북 경주시,0.9853 ,-0.3570 ,0.9823 ,0.2855 ,0.9955 ,-0.0046 ,0.2257 ,0.0563 ,0.3269 ,0.0989 
37,경북 경산시,1.0009 ,-0.1473 ,1.0870 ,-0.0651 ,0.9950 ,0.0362 ,0.0548 ,0.1023 ,-0.1510 ,0.2042 
38,경남 합천군,0.9807 ,-0.5538 ,1.0274 ,-0.1814 ,0.9928 ,-0.0057 ,0.0721 ,0.0134 ,0.2345 ,0.2692
38,경남 함양군,0.9984 ,-0.6980 ,1.0915 ,-0.3099 ,0.9980 ,0.0200 ,0.2459 ,0.0790 ,-0.1291 ,0.0292 
38,경남 함안군,1.0046 ,-0.1524 ,1.1859 ,-0.1333 ,0.9982 ,0.0264 ,0.1405 ,0.0077 ,0.1094 ,-0.2104 
38,경남 하동군,1.0204 ,-0.2175 ,1.1310 ,-0.0749 ,0.9974 ,0.0151 ,0.0522 ,0.0947 ,-0.1821 ,0.1094 
38,경남 통영시,0.9946 ,-0.2877 ,1.1374 ,-0.0817 ,0.9968 ,0.0718 ,0.0786 ,0.0997 ,0.1756 ,-0.0074 
